[
(0, 0.007744194834794604)
(1, 0.007929826751560502)
(2, 0.0028872001976609518)
(3, 0.0025510326373976025)
(4, 0.01001414986274877)
(5, 0.030867921406272515)
(6, 0.006362333729096869)
(7, 0.01876713653165281)
(8, 0.00996489523244132)
(9, 0.004741726717147229)
(10, 0.008311086338679831)
(11, 0.005358343894839878)
(12, 0.010117263783671063)
(13, 0.016263566472977668)
(14, 0.010936128280839383)
(15, 0.009235780727343892)
(16, 0.018490951259763654)
(17, 0.00931106646220815)
(18, 0.002995004487585209)
(19, 0.00451550771959917)
(20, 0.007264691028658837)
(21, 0.022616913353273167)
(22, 0.00787003701116057)
(23, 0.005790922631207805)
(24, 0.007141349701324222)
(25, 0.004535611131027327)
(26, 0.003860515103017212)
(27, 0.0038345183750603347)
(28, 0.01241357076874808)
(29, 0.012246058824354481)
(30, 0.004332321263762855)
(31, 0.01104681784831547)
(32, 0.007837040596416598)
(33, 0.008541382997582066)
(34, 0.012284928467602573)
(35, 0.009352046876312211)
(36, 0.00316244825694124)
(37, 0.009523218609626127)
(38, 0.007859730169796518)
(39, 0.019558165554701308)
(40, 0.010261276169633272)
(41, 0.016234159844469017)
(42, 0.007696673792230611)
(43, 0.00997456688069777)
(44, 0.006313430540954557)
(45, 0.005654248667552235)
(46, 0.0064074694279359235)
(47, 0.0029894883088999466)
(48, 0.009026046916951894)
(49, 0.01959317693009932)
(50, 0.01051142878351382)
(51, 0.007461773969138763)
(52, 0.006191195992789515)
(53, 0.013713522215962353)
(54, 0.006773281829971407)
(55, 0.01552089518037236)
(56, 0.013416776853655282)
(57, 0.01385827739084693)
(58, 0.00351088948693904)
(59, 0.006176947514712068)
(60, 0.004805433127059038)
(61, 0.012437759032224932)
(62, 0.007804424595865885)
(63, 0.00945752784667492)
(64, 0.01002038399949115)
(65, 0.005132474271530578)
(66, 0.011486084662660058)
(67, 0.006389258869036254)
(68, 0.021246642413455925)
(69, 0.008634457644360419)
(70, 0.011101597324165087)
(71, 0.01120141727380934)
(72, 0.013962598214411042)
(73, 0.006186657650309637)
(74, 0.011804141900041842)
(75, 0.011107765553503242)
(76, 0.013435769125241522)
(77, 0.013658384995052092)
(78, 0.003372923959319556)
(79, 0.005678458221642939)
(80, 0.01421082964950622)
(81, 0.012358671033118052)
(82, 0.01373296764827131)
(83, 0.008740676467646695)
(84, 0.002744239020585912)
(85, 0.021899462401484875)
(86, 0.010690571116639376)
(87, 0.01353123019350271)
(88, 0.006996170046851312)
(89, 0.006724796823208619)
(90, 0.0069543506609259795)
(91, 0.004874533032788558)
(92, 0.011073737244927441)
(93, 0.011661868599649027)
(94, 0.015864594097666645)
(95, 0.012491494379558259)
(96, 0.0058385088847905655)
(97, 0.016056461346283923)
(98, 0.020529951255427944)
(99, 0.014377792822814933)
]
