[
(0, 0)
(1, 7.0)
(2, 14.0)
(3, 11.0)
(4, 12.0)
(5, 13.0)
(6, 13.0)
(7, 8.0)
(8, 14.0)
(9, 6.0)
(10, 4.0)
(11, 15.0)
(12, 6.0)
(13, 8.0)
(14, 6.0)
(15, 12.0)
(16, 7.0)
(17, 6.0)
(18, 13.0)
(19, 8.0)
(20, 8.0)
(21, 7.0)
(22, 8.0)
(23, 6.0)
(24, 11.0)
(25, 7.0)
(26, 8.0)
(27, 10.0)
(28, 6.0)
(29, 10.0)
(30, 9.0)
(31, 8.0)
(32, 10.0)
(33, 12.0)
(34, 9.0)
(35, 12.0)
(36, 7.0)
(37, 8.0)
(38, 9.0)
(39, 9.0)
(40, 7.0)
(41, 12.0)
(42, 10.0)
(43, 6.0)
(44, 10.0)
(45, 11.0)
(46, 9.0)
(47, 10.0)
(48, 8.0)
(49, 10.0)
(50, 11.0)
(51, 4.0)
(52, 5.0)
(53, 8.0)
(54, 8.0)
(55, 11.0)
(56, 10.0)
(57, 9.0)
(58, 10.0)
(59, 11.0)
(60, 8.0)
(61, 8.0)
(62, 7.0)
(63, 7.0)
(64, 9.0)
(65, 3.0)
(66, 6.0)
(67, 6.0)
(68, 10.0)
(69, 8.0)
(70, 8.0)
(71, 10.0)
(72, 9.0)
(73, 4.0)
(74, 6.0)
(75, 7.0)
(76, 9.0)
(77, 8.0)
(78, 11.0)
(79, 10.0)
(80, 9.0)
(81, 9.0)
(82, 8.0)
(83, 4.0)
(84, 9.0)
(85, 10.0)
(86, 8.0)
(87, 11.0)
(88, 9.0)
(89, 9.0)
(90, 4.0)
(91, 11.0)
(92, 5.0)
(93, 5.0)
(94, 11.0)
(95, 7.0)
(96, 7.0)
(97, 10.0)
(98, 10.0)
(99, 8.0)
]
